id,type,readonly,group,name
0,8,0,radiotest,channel
1,0,0,radiotest,power
2,8,0,radiotest,contwave
3,8,0,activeMarker,front
4,8,0,activeMarker,back
5,8,0,activeMarker,left
6,8,0,activeMarker,right
7,8,0,activeMarker,mode
8,8,0,activeMarker,poll
9,8,1,deck,bcActiveMarker
10,8,1,deck,bcAI
11,8,1,deck,bcBuzzer
12,8,1,deck,bcFlow
13,8,1,deck,bcFlow2
14,8,1,deck,bcLedRing
15,8,1,deck,bcLighthouse4
16,8,1,deck,bcDWM1000
17,8,1,deck,bcLoco
18,8,1,deck,bcMultiranger
19,8,1,deck,bcOA
20,8,1,deck,bcUSD
21,8,1,deck,bcZRanger
22,8,1,deck,bcZRanger2
23,8,1,deck,bcColorLedBot
24,8,1,deck,bcColorLedTop
25,8,1,deck,bcCam
26,8,0,motion,disable
27,8,0,motion,adaptive
28,6,0,motion,flowStdFixed
29,8,0,ring,effect
30,10,1,ring,neffect
31,8,0,ring,solidRed
32,8,0,ring,solidGreen
33,8,0,ring,solidBlue
34,8,0,ring,headlightEnable
35,6,0,ring,emptyCharge
36,6,0,ring,fullCharge
37,10,0,ring,fadeColor
38,6,0,ring,fadeTime
39,8,0,system,highlight
40,8,0,system,storageStats
41,8,0,system,storageReformat
42,8,0,system,taskDump
43,0,1,system,selftestPassed
44,8,0,system,assertInfo
45,8,0,system,testLogParam
46,8,0,system,doAssert
47,8,0,loco,mode
48,6,0,tdoa2,stddev
49,6,0,tdoa3,stddev
50,9,0,multiranger,filterMask
51,8,1,usd,canLog
52,8,0,usd,logging
53,10,0,colorLedBot,wrgb8888
54,8,0,colorLedBot,brightCorr
55,10,0,colorLedTop,wrgb8888
56,8,0,colorLedTop,brightCorr
57,8,1,deckTest,bcColorLedBot
58,8,1,deckTest,bcColorLedTop
59,8,0,led,bitmask
60,8,0,motorPowerSet,enable
61,9,0,motorPowerSet,m1
62,9,0,motorPowerSet,m2
63,9,0,motorPowerSet,m3
64,9,0,motorPowerSet,m4
65,6,0,pm,lowVoltage
66,6,0,pm,criticalLowVoltage
67,8,1,imu_sensors,BMP3XX
68,6,0,imu_sensors,imuPhi
69,6,0,imu_sensors,imuTheta
70,6,0,imu_sensors,imuPsi
71,8,1,imu_sensors,AK8963
72,8,1,imu_sensors,LPS25H
73,8,1,imu_tests,MPU6500
74,8,1,imu_tests,AK8963
75,8,1,imu_tests,LPS25H
76,6,0,imu_tests,imuPhi
77,6,0,imu_tests,imuTheta
78,6,0,imu_tests,imuPsi
79,8,0,syslink,probe
80,8,0,usec,reset
81,8,0,colAv,enable
82,6,0,colAv,ellipsoidX
83,6,0,colAv,ellipsoidY
84,6,0,colAv,ellipsoidZ
85,6,0,colAv,bboxMinX
86,6,0,colAv,bboxMinY
87,6,0,colAv,bboxMinZ
88,6,0,colAv,bboxMaxX
89,6,0,colAv,bboxMaxY
90,6,0,colAv,bboxMaxZ
91,6,0,colAv,horizon
92,6,0,colAv,maxSpeed
93,6,0,colAv,sidestepThrsh
94,2,0,colAv,maxPeerLocAge
95,6,0,colAv,vorTol
96,2,0,colAv,vorIters
97,8,0,commander,enHighLevel
98,6,0,cppm,rateRoll
99,6,0,cppm,ratePitch
100,6,0,cppm,angPitch
101,6,0,cppm,angRoll
102,6,0,cppm,rateYaw
103,6,0,hlCommander,vtoff
104,6,0,hlCommander,vland
105,8,0,hlCommander,groupmask
106,8,0,flightmode,althold
107,8,0,flightmode,poshold
108,8,0,flightmode,posSet
109,8,0,flightmode,yawMode
110,8,0,flightmode,stabModeRoll
111,8,0,flightmode,stabModePitch
112,8,0,flightmode,stabModeYaw
113,8,0,locSrv,enRangeStreamFP32
114,8,0,locSrv,enLhAngleStream
115,8,0,locSrv,enLhMtchStm
116,8,0,locSrv,maxTimeLhMtchStm
117,8,0,locSrv,minBsLhMtchStm
118,6,0,locSrv,extPosStdDev
119,6,0,locSrv,extQuatStdDev
120,9,0,crtpsrv,echoDelay
121,8,0,health,startPropTest
122,8,0,health,startBatTest
123,6,0,health,propTestThreshold
124,6,0,health,propTestThresholdL
125,9,0,health,propTestPWMRatio
126,9,0,health,batTestPWMRatio
127,6,0,kalman,maxPos
128,6,0,kalman,maxVel
129,8,0,kalman,resetEstimation
130,8,0,kalman,robustTdoa
131,8,0,kalman,robustTwr
132,6,0,kalman,pNAcc_xy
133,6,0,kalman,pNAcc_z
134,6,0,kalman,pNVel
135,6,0,kalman,pNPos
136,6,0,kalman,pNAtt
137,6,0,kalman,mNBaro
138,6,0,kalman,mNGyro_rollpitch
139,6,0,kalman,mNGyro_yaw
140,6,0,kalman,initialX
141,6,0,kalman,initialY
142,6,0,kalman,initialZ
143,6,0,kalman,initialYaw
144,6,0,kalman,dragB_x
145,6,0,kalman,dragB_y
146,6,0,kalman,dragB_z
147,6,0,kalman,cop_x
148,6,0,kalman,cop_y
149,6,0,kalman,cop_z
150,10,0,led_deck_ctrl,rgb888
151,8,0,memTst,resetW
152,10,0,powerDist,idleThrust
153,6,0,sensfusion6,kp
154,6,0,sensfusion6,ki
155,6,0,sensfusion6,baseZacc
156,8,0,sound,effect
157,10,1,sound,neffect
158,9,0,sound,freq
159,8,0,stabilizer,estimator
160,8,0,stabilizer,controller
161,8,0,stabilizer,stop
162,8,0,supervisor,infdmp
163,9,0,supervisor,prefltTimeout
164,9,0,supervisor,landedTimeout
165,8,0,supervisor,tmblChckEn
166,9,1,cpu,flash
167,10,1,cpu,id0
168,10,1,cpu,id1
169,10,1,cpu,id2
170,8,0,tdoaEngine,logId
171,8,0,tdoaEngine,logOthrId
172,8,0,tdoaEngine,matchAlgo
173,6,0,flowdeck,flowdeckPos_x
174,6,0,flowdeck,flowdeckPos_y
175,6,0,flowdeck,flowdeckPos_z
176,8,0,lighthouse,method
177,8,0,lighthouse,bsCalibReset
178,8,0,lighthouse,systemType
179,9,1,lighthouse,bsAvailable
180,6,0,lighthouse,sweepStd
181,6,0,lighthouse,sweepStd2
182,8,0,lighthouse,enLhRawStream
183,9,0,lighthouse,lh2maxRate
184,6,0,pid_attitude,roll_kp
185,6,0,pid_attitude,roll_ki
186,6,0,pid_attitude,roll_kd
187,6,0,pid_attitude,roll_kff
188,6,0,pid_attitude,pitch_kp
189,6,0,pid_attitude,pitch_ki
190,6,0,pid_attitude,pitch_kd
191,6,0,pid_attitude,pitch_kff
192,6,0,pid_attitude,yaw_kp
193,6,0,pid_attitude,yaw_ki
194,6,0,pid_attitude,yaw_kd
195,6,0,pid_attitude,yaw_kff
196,6,0,pid_attitude,yawMaxDelta
197,0,0,pid_attitude,attFiltEn
198,6,0,pid_attitude,attFiltCut
199,6,0,pid_rate,roll_kp
200,6,0,pid_rate,roll_ki
201,6,0,pid_rate,roll_kd
202,6,0,pid_rate,roll_kff
203,6,0,pid_rate,pitch_kp
204,6,0,pid_rate,pitch_ki
205,6,0,pid_rate,pitch_kd
206,6,0,pid_rate,pitch_kff
207,6,0,pid_rate,yaw_kp
208,6,0,pid_rate,yaw_ki
209,6,0,pid_rate,yaw_kd
210,6,0,pid_rate,yaw_kff
211,0,0,pid_rate,rateFiltEn
212,6,0,pid_rate,omxFiltCut
213,6,0,pid_rate,omyFiltCut
214,6,0,pid_rate,omzFiltCut
215,6,0,ctrlINDI,thrust_threshold
216,6,0,ctrlINDI,bound_ctrl_input
217,6,0,ctrlINDI,g1_p
218,6,0,ctrlINDI,g1_q
219,6,0,ctrlINDI,g1_r
220,6,0,ctrlINDI,g2
221,6,0,ctrlINDI,ref_err_p
222,6,0,ctrlINDI,ref_err_q
223,6,0,ctrlINDI,ref_err_r
224,6,0,ctrlINDI,ref_rate_p
225,6,0,ctrlINDI,ref_rate_q
226,6,0,ctrlINDI,ref_rate_r
227,6,0,ctrlINDI,act_dyn_p
228,6,0,ctrlINDI,act_dyn_q
229,6,0,ctrlINDI,act_dyn_r
230,6,0,ctrlINDI,filt_cutoff
231,6,0,ctrlINDI,filt_cutoff_r
232,8,0,ctrlINDI,outerLoopActive
233,6,0,ctrlMel,kp_xy
234,6,0,ctrlMel,kd_xy
235,6,0,ctrlMel,ki_xy
236,6,0,ctrlMel,i_range_xy
237,6,0,ctrlMel,kp_z
238,6,0,ctrlMel,kd_z
239,6,0,ctrlMel,ki_z
240,6,0,ctrlMel,i_range_z
241,6,0,ctrlMel,mass
242,6,0,ctrlMel,massThrust
243,6,0,ctrlMel,kR_xy
244,6,0,ctrlMel,kR_z
245,6,0,ctrlMel,kw_xy
246,6,0,ctrlMel,kw_z
247,6,0,ctrlMel,ki_m_xy
248,6,0,ctrlMel,ki_m_z
249,6,0,ctrlMel,kd_omega_rp
250,6,0,ctrlMel,i_range_m_xy
251,6,0,ctrlMel,i_range_m_z
252,6,0,ctrlAtt,tau_xy
253,6,0,ctrlAtt,zeta_xy
254,6,0,ctrlAtt,tau_z
255,6,0,ctrlAtt,zeta_z
256,6,0,ctrlAtt,tau_rp
257,6,0,ctrlAtt,mixing_factor
258,6,0,ctrlAtt,coll_fairness
259,6,0,posCtrlIndi,K_xi_x
260,6,0,posCtrlIndi,K_xi_y
261,6,0,posCtrlIndi,K_xi_z
262,6,0,posCtrlIndi,K_dxi_x
263,6,0,posCtrlIndi,K_dxi_y
264,6,0,posCtrlIndi,K_dxi_z
265,6,0,posCtrlIndi,pq_clamping
266,6,0,posCtlPid,xKp
267,6,0,posCtlPid,xKi
268,6,0,posCtlPid,xKd
269,6,0,posCtlPid,xKff
270,6,0,posCtlPid,yKp
271,6,0,posCtlPid,yKi
272,6,0,posCtlPid,yKd
273,6,0,posCtlPid,yKff
274,6,0,posCtlPid,zKp
275,6,0,posCtlPid,zKi
276,6,0,posCtlPid,zKd
277,6,0,posCtlPid,zKff
278,9,0,posCtlPid,thrustBase
279,9,0,posCtlPid,thrustMin
280,6,0,posCtlPid,rLimit
281,6,0,posCtlPid,pLimit
282,6,0,posCtlPid,xVelMax
283,6,0,posCtlPid,yVelMax
284,6,0,posCtlPid,zVelMax
285,6,0,velCtlPid,vxKp
286,6,0,velCtlPid,vxKi
287,6,0,velCtlPid,vxKd
288,6,0,velCtlPid,vxKFF
289,6,0,velCtlPid,vyKp
290,6,0,velCtlPid,vyKi
291,6,0,velCtlPid,vyKd
292,6,0,velCtlPid,vyKFF
293,6,0,velCtlPid,vzKp
294,6,0,velCtlPid,vzKi
295,6,0,velCtlPid,vzKd
296,6,0,velCtlPid,vzKFF
297,6,0,ctrlLee,KR_x
298,6,0,ctrlLee,KR_y
299,6,0,ctrlLee,KR_z
300,6,0,ctrlLee,KI_x
301,6,0,ctrlLee,KI_y
302,6,0,ctrlLee,KI_z
303,6,0,ctrlLee,Kw_x
304,6,0,ctrlLee,Kw_y
305,6,0,ctrlLee,Kw_z
306,6,0,ctrlLee,J_x
307,6,0,ctrlLee,J_y
308,6,0,ctrlLee,J_z
309,6,0,ctrlLee,Kpos_Px
310,6,0,ctrlLee,Kpos_Py
311,6,0,ctrlLee,Kpos_Pz
312,6,0,ctrlLee,Kpos_P_limit
313,6,0,ctrlLee,Kpos_Dx
314,6,0,ctrlLee,Kpos_Dy
315,6,0,ctrlLee,Kpos_Dz
316,6,0,ctrlLee,Kpos_D_limit
317,6,0,ctrlLee,Kpos_Ix
318,6,0,ctrlLee,Kpos_Iy
319,6,0,ctrlLee,Kpos_Iz
320,6,0,ctrlLee,Kpos_I_limit
321,6,0,ctrlLee,mass
322,6,0,posEstAlt,estAlphaAsl
323,6,0,posEstAlt,estAlphaZr
324,6,0,posEstAlt,velFactor
325,6,0,posEstAlt,velZAlpha
326,6,0,posEstAlt,vAccDeadband
327,10,1,firmware,revision0
328,9,1,firmware,revision1
329,8,1,firmware,modified
